mrun;cod_nivel;rbd_admitido;cod_curso_admitido
483943;10;24626;231000000133
484435;4;9939;411000000131
485914;9;5343;131000000133
486095;2;22554;211000000133
486144;2;9834;211000000133
487005;11;8938;331000000133
487140;8;3941;811000000133
487580;9;5393;131000000133
487925;7;7726;711000000133
487926;7;25387;711000000133
488255;9;25960;131000000133
488351;9;2835;131000000133
488630;9;10638;131000000133
489813;1;31221;111000000133
493359;2;14482;211000000133
494045;3;40014;311000000133
496176;3;24879;311000000133
497141;9;8491;131000000122
497178;5;9213;511000000133
497300;4;12077;411000000133
498358;9;10725;131000000133
498564;10;31345;231000000133
498778;10;6897;231000000133
499416;7;10621;711000000133
499732;3;8019;311000000133
499742;7;14779;711000000133
499764;3;10586;311000000133
499828;9;31074;131000000113
500620;6;10014;611000000131
